TeamName,TeamId,name,active,team_id,parent_team
Red Bull,red_bull,RED BULL,1,1,RED BULL
McLaren,mclaren,MCLAREN,1,2,MCLAREN
Mercedes,mercedes,MERCEDES,1,3,MERCEDES
Ferrari,ferrari,FERRARI,1,4,FERRARI
Aston Martin,aston_martin,ASTON MARTIN,1,5,ASTON MARTIN
RB,rb,VISA CASHAPP RB,1,6,TORO ROSSO
Alpine F1 Team, alpine,ALPINE,1,7,ALPINE
Kick Sauber,sauber,KICK SAUBER,1,8,SAUBER
Haas F1 Team,haas,HAAS,1,9,HAAS
Williams,williams,WILLIAMS,1,10,WILLIAMS
AlphaTauri,alphatauri,ALPHA TAURI,0,6,TORO ROSSO
Alfa Romeo,alfa,ALFA ROMEO,0,8,SAUBER
Red Bull Racing,red_bull,RED BULL,1,1,RED BULL