DriverId,id,name,active
max_verstappen,VER,VERSTAPPEN,1
perez,PER,PEREZ,1
norris,NOR,NORRIS,1
piastri,PIA,PIASTRI,1
hamilton,HAM,HAMILTON,1
russell,RUS,RUSSELL,1
leclerc,LEC,LECLERC,1
sainz,SAI,SAINZ,1
alonso,ALO,ALONSO,1
stroll,STR,STROLL,1
ricciardo,RIC,RICCIARDO,1
tsunoda,TSU,TSUNODA,1
gasly,GAS,GASLY,1
ocon,OCO,OCON,1
albon,ALB,ALBON,1
zhou,ZHO,ZHOU,1
bottas,BOT,BOTTAS,1
hulkenberg,HUL,HULKENBERG,1
kevin_magnussen,MAG,MAGNUSSEN,1
sargeant,SAR,SARGEANT,1
vettel,VET,VETTEL,0
latifi,LAT,LATIFI,0
mick_schumacher,MSC,SCHUMACHER,0
de_vries,DEV,DEVRIES,0
lawson,LAW,LAWSON,0
bearman,BEA,BEARMAN,0